,Humano,Chimpance,Gorila,Raton,Gallina,Atun
Humano,0.00,0.00,0.00,8.57,12.38,20.00
Chimpance,0.00,0.00,0.00,8.57,12.38,20.00
Gorila,0.00,0.00,0.00,8.57,12.38,20.00
Raton,8.57,8.57,8.57,0.00,7.62,15.24
Gallina,12.38,12.38,12.38,7.62,0.00,16.19
Atun,20.00,20.00,20.00,15.24,16.19,0.00
